Date,"Close Price"
"2015-02-10 00:00:00",220.17
"2015-02-10 00:01:00",220.1
"2015-02-10 00:02:00",220.15
"2015-02-10 00:03:00",220.06
"2015-02-10 00:04:00",220
"2015-02-10 00:05:00",220.02
"2015-02-10 00:06:00",219.97
"2015-02-10 00:07:00",219.95
"2015-02-10 00:08:00",220.02
"2015-02-10 00:09:00",219.96
"2015-02-10 00:10:00",219.73
"2015-02-10 00:11:00",219.65
"2015-02-10 00:12:00",219.56
"2015-02-10 00:13:00",219.59
"2015-02-10 00:14:00",219.5
"2015-02-10 00:15:00",219.53
"2015-02-10 00:16:00",219.5
"2015-02-10 00:17:00",219.39
"2015-02-10 00:18:00",219.29
"2015-02-10 00:19:00",219.33
"2015-02-10 00:20:00",219.34
"2015-02-10 00:21:00",219.34
"2015-02-10 00:22:00",219.37
"2015-02-10 00:23:00",219.43
"2015-02-10 00:24:00",219.57
"2015-02-10 00:25:00",219.6
"2015-02-10 00:26:00",219.51
"2015-02-10 00:27:00",219.42
"2015-02-10 00:28:00",219.53
"2015-02-10 00:29:00",219.63
"2015-02-10 00:30:00",219.55
"2015-02-10 00:31:00",219.58
"2015-02-10 00:32:00",219.58
"2015-02-10 00:33:00",219.63
"2015-02-10 00:34:00",219.6
"2015-02-10 00:35:00",219.55
"2015-02-10 00:36:00",219.55
"2015-02-10 00:37:00",219.61
"2015-02-10 00:38:00",219.61
"2015-02-10 00:39:00",219.57
"2015-02-10 00:40:00",219.47
"2015-02-10 00:41:00",219.46
"2015-02-10 00:42:00",219.45
"2015-02-10 00:43:00",219.48
"2015-02-10 00:44:00",219.47
"2015-02-10 00:45:00",219.48
"2015-02-10 00:46:00",219.49
"2015-02-10 00:47:00",219.49
"2015-02-10 00:48:00",219.48
"2015-02-10 00:49:00",219.46
"2015-02-10 00:50:00",219.53
"2015-02-10 00:51:00",219.48
"2015-02-10 00:52:00",219.51
"2015-02-10 00:53:00",219.48
"2015-02-10 00:54:00",219.56
"2015-02-10 00:55:00",219.57
"2015-02-10 00:56:00",219.62
"2015-02-10 00:57:00",219.63
"2015-02-10 00:58:00",219.68
"2015-02-10 00:59:00",219.68
"2015-02-10 01:00:00",219.86
"2015-02-10 01:01:00",219.87
"2015-02-10 01:02:00",219.9
"2015-02-10 01:03:00",219.98
